Date,Crude_Oil_NYMEX,SMR_20_US
1/7/2000,24.22,69.5
1/14/2000,28.02,69.9
1/21/2000,28.2,71.9
1/28/2000,27.22,74.65
2/4/2000,28.82,75.6
2/11/2000,29.44,76.55
2/18/2000,29.51,76.15
2/25/2000,30.35,74.4
3/3/2000,31.51,71.6
3/10/2000,31.76,69.25
3/17/2000,30.91,67.25
3/24/2000,28.02,66.2
3/31/2000,26.9,66.85
4/7/2000,25.04,68.15
4/14/2000,25.57,69.25
4/21/2000,25.655,67.375
4/28/2000,25.74,65.5
5/5/2000,27.29,65.5
5/12/2000,29.62,64.6
5/19/2000,29.89,62.6
5/26/2000,30,60.75
6/2/2000,30.35,58.6
6/9/2000,30.2,59.15
6/16/2000,32.33,60.35
6/23/2000,32.25,60.6
6/30/2000,32.5,59.4
7/7/2000,30.28,58.2
7/14/2000,31.4,58.1
7/21/2000,28.56,58.2
7/28/2000,28.18,59
8/4/2000,29.96,61.8
8/11/2000,31.02,62.75
8/18/2000,31.99,61
8/25/2000,32.03,62.85
9/1/2000,33.38,62.2
9/8/2000,33.63,61
9/15/2000,35.92,60.2
9/22/2000,32.68,60.75
9/29/2000,30.84,61.65
10/6/2000,30.86,63.15
10/13/2000,34.99,62.05
10/20/2000,33.75,61
10/27/2000,32.74,60.1
11/3/2000,32.71,59.4
11/10/2000,34.02,60.5
11/17/2000,35.45,59.95
11/24/2000,33.735,63.25
12/1/2000,32.02,65.5
12/8/2000,28.44,65
12/15/2000,28.87,62.85
12/22/2000,26.18,61.15
12/29/2000,26.8,61.475
1/5/2001,27.95,61.8
1/12/2001,30.05,62.75
1/19/2001,32.19,62.35
1/26/2001,29.77,61.95
2/2/2001,31.19,62.2
2/9/2001,31.03,60.75
2/16/2001,29.16,59.95
2/23/2001,29.04,57.95
3/2/2001,27.84,55.85
3/9/2001,28.01,54.5
3/16/2001,26.74,54.1
3/23/2001,27.3,51.85
3/30/2001,26.29,54.9
4/6/2001,27.06,57.05
4/13/2001,27.17,55.725
4/20/2001,27.28,54.4
4/27/2001,28.27,54
5/4/2001,28.36,54.75
5/11/2001,28.55,56.75
5/18/2001,29.91,57.45
5/25/2001,28.38,57.55
6/1/2001,27.93,57.45
6/8/2001,28.33,57.15
6/15/2001,28.51,55.95
6/22/2001,26.83,55.15
6/29/2001,26.25,54.65
7/6/2001,28.21,53.45
7/13/2001,26.59,52.9
7/20/2001,25.59,52.65
7/27/2001,27.02,52.8
8/3/2001,27.62,54.1
8/10/2001,28.05,54.4
8/17/2001,26.68,55.3
8/24/2001,26.9,54
8/31/2001,27.2,53.05
9/7/2001,28.03,52.1
9/14/2001,29.53,51.7
9/21/2001,25.97,50.15
9/28/2001,23.43,49.75
10/5/2001,22.39,50.4
10/12/2001,22.5,50.65
10/19/2001,21.83,50.4
10/26/2001,22.03,50.95
11/2/2001,20.18,52
11/9/2001,22.22,52.5
11/16/2001,18.03,52.25
11/23/2001,18.735,50.25
11/30/2001,19.44,49.45
12/7/2001,19.04,48.8
12/14/2001,19.23,50
12/21/2001,19.62,50.8
12/28/2001,20.41,51.35
1/4/2002,21.62,51.85
1/11/2002,19.68,52.8
1/18/2002,18,55.45
1/25/2002,19.99,57.3
2/1/2002,20.38,58.15
2/8/2002,20.26,59
2/15/2002,21.5,59.55
2/22/2002,21.07,59.3
3/1/2002,22.4,60.35
3/8/2002,23.84,64.2
3/15/2002,24.51,67.45
3/22/2002,25.35,70.7
3/29/2002,25.78,69.3
4/5/2002,26.21,67.9
4/12/2002,23.47,67.35
4/19/2002,26.38,64.7
4/26/2002,27.11,63.65
5/3/2002,26.62,63.55
5/10/2002,27.99,64.7
5/17/2002,28.18,65.8
5/24/2002,25.88,68.85
5/31/2002,25.31,71.5
6/7/2002,24.75,75.2
6/14/2002,25.94,82.1
6/21/2002,25.82,88.45
6/28/2002,26.86,84.2
7/5/2002,27.17,83.7
7/12/2002,27.48,82.75
7/19/2002,27.83,80.9
7/26/2002,26.54,78.25
8/2/2002,26.84,77.7
8/9/2002,26.86,81.7
8/16/2002,29.33,84.35
8/23/2002,28.63,84.1
8/30/2002,28.98,89.5
9/6/2002,29.61,92.7
9/13/2002,29.81,92.2
9/20/2002,29.61,87.4
9/27/2002,30.54,87.25
10/4/2002,29.62,87.15
10/11/2002,29.37,85.95
10/18/2002,29.6,83.7
10/25/2002,27.05,84.2
11/1/2002,27.13,85.55
11/8/2002,25.78,85.95
11/15/2002,25.51,86.2
11/22/2002,26.76,85
11/29/2002,26.845,86.6
12/6/2002,26.93,85.875
12/13/2002,28.44,85.15
12/20/2002,30.3,86.45
12/27/2002,32.72,87
1/3/2003,33.08,88.2
1/10/2003,31.68,90.85
1/17/2003,33.91,91.1
1/24/2003,33.28,91.1
1/31/2003,33.51,92.5
2/7/2003,35.12,93.9
2/14/2003,36.8,93.75
2/21/2003,35.58,96.3
2/28/2003,36.6,94.95
3/7/2003,37.78,95.5
3/14/2003,35.38,96.55
3/21/2003,26.91,94.45
3/28/2003,30.16,93.65
4/4/2003,28.62,92.45
4/11/2003,28.14,90.2
4/18/2003,27.2,88.475
4/25/2003,26.26,86.75
5/2/2003,25.67,84.35
5/9/2003,27.72,83.3
5/16/2003,29.14,84.9
5/23/2003,29.16,88.05
5/30/2003,29.56,87.55
6/6/2003,31.28,87.65
6/13/2003,30.65,85.95
6/20/2003,30.82,84.6
6/27/2003,29.27,83.3
7/4/2003,30.275,83.7
