Date,Crude_Oil_NYMEX,SMR_20_US
1/7/2000,24.22,SMR_20_US_1
1/14/2000,28.02,SMR_20_US_1
1/21/2000,28.2,SMR_20_US_1
1/28/2000,27.22,SMR_20_US_1
2/4/2000,28.82,SMR_20_US_1
2/11/2000,29.44,SMR_20_US_1
2/18/2000,29.51,SMR_20_US_1
2/25/2000,30.35,SMR_20_US_1
3/3/2000,31.51,SMR_20_US_1
3/10/2000,31.76,SMR_20_US_1
3/17/2000,30.91,SMR_20_US_1
3/24/2000,28.02,SMR_20_US_1
3/31/2000,26.9,SMR_20_US_1
4/7/2000,25.04,SMR_20_US_1
4/14/2000,25.57,SMR_20_US_1
4/21/2000,25.655,SMR_20_US_1
4/28/2000,25.74,SMR_20_US_1
5/5/2000,27.29,SMR_20_US_1
5/12/2000,29.62,SMR_20_US_1
5/19/2000,29.89,SMR_20_US_1
5/26/2000,30,SMR_20_US_1
6/2/2000,30.35,SMR_20_US_1
6/9/2000,30.2,SMR_20_US_1
6/16/2000,32.33,SMR_20_US_1
6/23/2000,32.25,SMR_20_US_1
6/30/2000,32.5,SMR_20_US_1
7/7/2000,30.28,SMR_20_US_1
7/14/2000,31.4,SMR_20_US_1
7/21/2000,28.56,SMR_20_US_1
7/28/2000,28.18,SMR_20_US_1
8/4/2000,29.96,SMR_20_US_1
8/11/2000,31.02,SMR_20_US_1
8/18/2000,31.99,SMR_20_US_1
8/25/2000,32.03,SMR_20_US_1
9/1/2000,33.38,SMR_20_US_1
9/8/2000,33.63,SMR_20_US_1
9/15/2000,35.92,SMR_20_US_1
9/22/2000,32.68,SMR_20_US_1
9/29/2000,30.84,SMR_20_US_1
10/6/2000,30.86,SMR_20_US_1
10/13/2000,34.99,SMR_20_US_1
10/20/2000,33.75,SMR_20_US_1
10/27/2000,32.74,SMR_20_US_1
11/3/2000,32.71,SMR_20_US_1
11/10/2000,34.02,SMR_20_US_1
11/17/2000,35.45,SMR_20_US_1
11/24/2000,33.735,SMR_20_US_1
12/1/2000,32.02,SMR_20_US_1
12/8/2000,28.44,SMR_20_US_1
12/15/2000,28.87,SMR_20_US_1
12/22/2000,26.18,SMR_20_US_1
12/29/2000,26.8,SMR_20_US_1
1/5/2001,27.95,SMR_20_US_1
1/12/2001,30.05,SMR_20_US_1
1/19/2001,32.19,SMR_20_US_1
1/26/2001,29.77,SMR_20_US_1
2/2/2001,31.19,SMR_20_US_1
2/9/2001,31.03,SMR_20_US_1
2/16/2001,29.16,SMR_20_US_1
2/23/2001,29.04,SMR_20_US_1
3/2/2001,27.84,SMR_20_US_1
3/9/2001,28.01,SMR_20_US_1
3/16/2001,26.74,SMR_20_US_1
3/23/2001,27.3,SMR_20_US_1
3/30/2001,26.29,SMR_20_US_1
4/6/2001,27.06,SMR_20_US_1
4/13/2001,27.17,SMR_20_US_1
4/20/2001,27.28,SMR_20_US_1
4/27/2001,28.27,SMR_20_US_1
5/4/2001,28.36,SMR_20_US_1
5/11/2001,28.55,SMR_20_US_1
5/18/2001,29.91,SMR_20_US_1
5/25/2001,28.38,SMR_20_US_1
6/1/2001,27.93,SMR_20_US_1
6/8/2001,28.33,SMR_20_US_1
6/15/2001,28.51,SMR_20_US_1
6/22/2001,26.83,SMR_20_US_1
6/29/2001,26.25,SMR_20_US_1
7/6/2001,28.21,SMR_20_US_1
7/13/2001,26.59,SMR_20_US_1
7/20/2001,25.59,SMR_20_US_1
7/27/2001,27.02,SMR_20_US_1
8/3/2001,27.62,SMR_20_US_1
8/10/2001,28.05,SMR_20_US_1
8/17/2001,26.68,SMR_20_US_1
8/24/2001,26.9,SMR_20_US_1
8/31/2001,27.2,SMR_20_US_1
9/7/2001,28.03,SMR_20_US_1
9/14/2001,29.53,SMR_20_US_1
9/21/2001,25.97,SMR_20_US_1
9/28/2001,23.43,SMR_20_US_1
10/5/2001,22.39,SMR_20_US_1
10/12/2001,22.5,SMR_20_US_1
10/19/2001,21.83,SMR_20_US_1
10/26/2001,22.03,SMR_20_US_1
11/2/2001,20.18,SMR_20_US_1
11/9/2001,22.22,SMR_20_US_1
11/16/2001,18.03,SMR_20_US_1
11/23/2001,18.735,SMR_20_US_1
11/30/2001,19.44,SMR_20_US_1
12/7/2001,19.04,SMR_20_US_1
12/14/2001,19.23,SMR_20_US_1
12/21/2001,19.62,SMR_20_US_1
12/28/2001,20.41,SMR_20_US_1
1/4/2002,21.62,SMR_20_US_1
1/11/2002,19.68,SMR_20_US_1
1/18/2002,18,SMR_20_US_1
1/25/2002,19.99,SMR_20_US_1
2/1/2002,20.38,SMR_20_US_1
2/8/2002,20.26,SMR_20_US_1
2/15/2002,21.5,SMR_20_US_1
2/22/2002,21.07,SMR_20_US_1
3/1/2002,22.4,SMR_20_US_1
3/8/2002,23.84,SMR_20_US_1
3/15/2002,24.51,SMR_20_US_1
3/22/2002,25.35,SMR_20_US_1
