Date,Crude_Oil_NYMEX,SMR_20_US
1/1/2010,79.62,SMR_20_US_2
1/8/2010,82.75,SMR_20_US_2
1/15/2010,78,SMR_20_US_2
1/22/2010,74.54,SMR_20_US_2
1/29/2010,72.89,SMR_20_US_2
2/5/2010,71.19,SMR_20_US_2
2/12/2010,74.13,SMR_20_US_2
2/19/2010,79.81,SMR_20_US_2
2/26/2010,79.66,SMR_20_US_2
3/5/2010,81.5,SMR_20_US_2
3/12/2010,81.24,SMR_20_US_2
3/19/2010,80.68,SMR_20_US_2
3/26/2010,80,SMR_20_US_2
4/2/2010,82.46,SMR_20_US_2
4/9/2010,84.92,SMR_20_US_3
4/16/2010,83.24,SMR_20_US_3
4/23/2010,85.12,SMR_20_US_3
4/30/2010,86.15,SMR_20_US_2
5/7/2010,75.11,SMR_20_US_2
5/14/2010,71.61,SMR_20_US_2
5/21/2010,70.04,SMR_20_US_2
5/28/2010,73.97,SMR_20_US_2
6/4/2010,71.51,SMR_20_US_2
6/11/2010,73.78,SMR_20_US_2
6/18/2010,77.18,SMR_20_US_2
6/25/2010,78.86,SMR_20_US_2
7/2/2010,72.14,SMR_20_US_2
7/9/2010,76.09,SMR_20_US_2
7/16/2010,76.01,SMR_20_US_2
7/23/2010,78.98,SMR_20_US_2
7/30/2010,78.95,SMR_20_US_2
8/6/2010,80.7,SMR_20_US_2
8/13/2010,75.39,SMR_20_US_2
8/20/2010,73.46,SMR_20_US_2
8/27/2010,75.17,SMR_20_US_2
9/3/2010,74.6,SMR_20_US_3
9/10/2010,76.45,SMR_20_US_3
9/17/2010,73.66,SMR_20_US_3
9/24/2010,76.49,SMR_20_US_3
10/1/2010,81.58,SMR_20_US_3
10/8/2010,82.66,SMR_20_US_3
10/15/2010,81.25,SMR_20_US_3
10/22/2010,81.69,SMR_20_US_3
10/29/2010,81.43,SMR_20_US_3
11/5/2010,86.85,SMR_20_US_3
11/12/2010,84.88,SMR_20_US_3
11/19/2010,81.51,SMR_20_US_3
11/26/2010,83.76,SMR_20_US_3
12/3/2010,89.19,SMR_20_US_3
12/10/2010,87.79,SMR_20_US_3
12/17/2010,88.02,SMR_20_US_3
12/24/2010,89.7,SMR_20_US_3
12/31/2010,91.38,SMR_20_US_3
1/7/2011,88.03,SMR_20_US_3
1/14/2011,91.54,SMR_20_US_3
1/21/2011,89.11,SMR_20_US_3
1/28/2011,89.34,SMR_20_US_3
2/4/2011,89.03,SMR_20_US_3
2/11/2011,85.58,SMR_20_US_3
2/18/2011,86.2,SMR_20_US_3
2/25/2011,97.88,SMR_20_US_3
3/4/2011,104.42,SMR_20_US_3
3/11/2011,101.16,SMR_20_US_3
3/18/2011,101.07,SMR_20_US_3
3/25/2011,105.4,SMR_20_US_3
4/1/2011,107.94,SMR_20_US_3
4/8/2011,112.79,SMR_20_US_3
4/15/2011,109.66,SMR_20_US_3
4/22/2011,111.795,SMR_20_US_3
4/29/2011,113.93,SMR_20_US_3
5/6/2011,97.18,SMR_20_US_3
5/13/2011,99.65,SMR_20_US_3
5/20/2011,99.49,SMR_20_US_3
5/27/2011,100.59,SMR_20_US_3
6/3/2011,100.22,SMR_20_US_3
6/10/2011,99.29,SMR_20_US_3
6/17/2011,93.01,SMR_20_US_3
6/24/2011,91.16,SMR_20_US_3
7/1/2011,94.94,SMR_20_US_3
7/8/2011,96.2,SMR_20_US_3
7/15/2011,97.24,SMR_20_US_3
7/22/2011,99.87,SMR_20_US_3
7/29/2011,95.7,SMR_20_US_3
8/5/2011,86.88,SMR_20_US_3
8/12/2011,85.38,SMR_20_US_3
8/19/2011,82.26,SMR_20_US_3
8/26/2011,85.37,SMR_20_US_3
9/2/2011,86.45,SMR_20_US_3
9/9/2011,87.24,SMR_20_US_3
9/16/2011,87.96,SMR_20_US_3
9/23/2011,79.85,SMR_20_US_3
9/30/2011,79.2,SMR_20_US_3
10/7/2011,82.98,SMR_20_US_3
10/14/2011,86.8,SMR_20_US_3
10/21/2011,87.4,SMR_20_US_3
10/28/2011,93.32,SMR_20_US_3
11/4/2011,94.26,SMR_20_US_3
11/11/2011,98.99,SMR_20_US_2
11/18/2011,97.41,SMR_20_US_3
11/25/2011,96.77,SMR_20_US_2
12/2/2011,100.96,SMR_20_US_3
12/9/2011,99.41,SMR_20_US_3
12/16/2011,93.53,SMR_20_US_2
12/23/2011,99.68,SMR_20_US_3
12/30/2011,98.83,SMR_20_US_2
1/6/2012,101.56,SMR_20_US_2
1/13/2012,98.7,SMR_20_US_3
1/20/2012,98.46,SMR_20_US_3
1/27/2012,99.56,SMR_20_US_3
2/3/2012,97.84,SMR_20_US_3
2/10/2012,98.67,SMR_20_US_3
2/17/2012,103.24,SMR_20_US_3
2/24/2012,109.77,SMR_20_US_3
3/2/2012,106.7,SMR_20_US_3
3/9/2012,107.4,SMR_20_US_3
3/16/2012,107.06,SMR_20_US_3
3/23/2012,106.87,SMR_20_US_3
3/30/2012,103.02,SMR_20_US_3
4/6/2012,103.31,SMR_20_US_3
4/13/2012,102.83,SMR_20_US_3
4/20/2012,103.05,SMR_20_US_3
4/27/2012,104.93,SMR_20_US_3
5/4/2012,98.49,SMR_20_US_3
5/11/2012,96.13,SMR_20_US_3
5/18/2012,91.48,SMR_20_US_2
5/25/2012,90.86,SMR_20_US_2
6/1/2012,83.23,SMR_20_US_2
6/8/2012,84.1,SMR_20_US_2
6/15/2012,84.03,SMR_20_US_2
6/22/2012,79.76,SMR_20_US_2
6/29/2012,84.96,SMR_20_US_2
7/6/2012,84.45,SMR_20_US_2
7/13/2012,87.1,SMR_20_US_2
7/20/2012,91.44,SMR_20_US_2
7/27/2012,90.13,SMR_20_US_2
8/3/2012,91.4,SMR_20_US_2
8/10/2012,92.87,SMR_20_US_2
8/17/2012,96.01,SMR_20_US_2
8/24/2012,96.15,SMR_20_US_2
8/31/2012,96.47,SMR_20_US_2
9/7/2012,96.42,SMR_20_US_2
9/14/2012,99,SMR_20_US_2
9/21/2012,92.89,SMR_20_US_2
9/28/2012,92.19,SMR_20_US_2
10/5/2012,89.88,SMR_20_US_2
10/12/2012,91.86,SMR_20_US_2
10/19/2012,90.05,SMR_20_US_2
10/26/2012,86.28,SMR_20_US_2
11/2/2012,84.86,SMR_20_US_2
11/9/2012,86.07,SMR_20_US_2
11/16/2012,86.67,SMR_20_US_2
11/23/2012,88.28,SMR_20_US_2
11/30/2012,88.91,SMR_20_US_2
12/7/2012,85.93,SMR_20_US_2
12/14/2012,86.73,SMR_20_US_2
12/21/2012,88.66,SMR_20_US_2
12/28/2012,90.8,SMR_20_US_2
1/4/2013,93.09,SMR_20_US_2
1/11/2013,93.56,SMR_20_US_2
1/18/2013,95.56,SMR_20_US_2
1/25/2013,95.88,SMR_20_US_2
2/1/2013,97.77,SMR_20_US_2
2/8/2013,95.72,SMR_20_US_2
2/15/2013,95.86,SMR_20_US_2
2/22/2013,93.13,SMR_20_US_2
3/1/2013,90.68,SMR_20_US_2
3/8/2013,91.95,SMR_20_US_2
3/15/2013,93.45,SMR_20_US_2
3/22/2013,93.71,SMR_20_US_2
3/29/2013,93.205,SMR_20_US_2
4/5/2013,92.7,SMR_20_US_2
4/12/2013,91.29,SMR_20_US_2
4/19/2013,88.01,SMR_20_US_1
4/26/2013,93,SMR_20_US_2
5/3/2013,95.61,SMR_20_US_2
5/10/2013,96.04,SMR_20_US_2
5/17/2013,96.02,SMR_20_US_2
